Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
Manta,tuti,"X84Q+MMG, Av. Metropolitana, Montecristi",-1.0428543,-80.6605579,,,,
Ambato,tuti  1 de mayo,"Lizardo Ruiz &, Ambato",-1.2354055,-78.6273779,,,,
Guayaquil,tuti  10 de agosto,"R443+WMR, Blvd. 9 de Octubre, Guayaquil",-2.1926406,-79.89587259999999,,,,
Ambato,tuti  10 de noviembre,"C. Pichincha 216, Guaranda",-1.595361,-79.0018729,,,,
Ambato,tuti  12 de noviembre,"Q95G+869, Av. Doce de Noviembre, Ambato",-1.2417198,-78.6243854,,,,
Guayaquil,tuti  1ro de mayo,"Calle 2 NO 426, Guayaquil",-2.1879907,-79.8908391,,,,
Santo Domingo,tuti  2 de mayo,"Av. Patricio Romero 206, Santo Domingo",-0.2329729,-79.1814904,,,,
Guayaquil,tuti  24 y garcia goyena,"24 entre García Goyena, y, Guayaquil",-2.2031483,-79.9222331,,,,
Otavalo,tuti  28 de junio,"Gabriel García Moreno S/n, Quito",-0.1128934,-78.4479672,,,,
Guayaquil,tuti  4 de noviembre,"Tungurahua 3715, Guayaquil",-2.2113821,-79.9036588,,,,
Quito,tuti  6 de diciembre,"RGGF+F4H, Quito",-0.1738002,-78.4772332,,,,
Machala,tuti  6 esquinas 2024,"P2JV+47W, Machala",-3.2696442,-79.95681130000001,,,,
Santo Domingo,tuti  abraham calazacon,"Av. Abraham Calazacón &, Santo Domingo",-0.26327,-79.16584230000001,,,,
Quito,tuti  agapanthus,"Rio Napo 170809, Quito",-0.3317891,-78.48010239999999,,,,
Quito,tuti  ajavi,"PFV5+32R, Quito",-0.2572577,-78.5424743,,,,
Ambato,tuti  alamos,"88VP+J73, Riobamba",-1.6559436,-78.6643423,,,,
Santo Domingo,tuti  alluriquin,"M2G3+X75, E20, San José de Alluriquín",-0.3226234000000001,-78.9967633,,,,
Quito,tuti  amaguana,"JFFV+8Q4, Amaguaña",-0.3767335,-78.505533,,,,
