Ciudad,Nombre,Dirección,Latitud,Longitud
Quito,TuTi | Pueblo Solo Pueblo,"Oe1E 544, Quito",-0.3077011,-78.54552269999999
Quito,TuTi | La Armenia,"Charles Darwin 420d, Quito",-0.2807786,-78.465828
Quito,TuTi | Gran Marcelino,"Av. Oswaldo Guayasamín Oe4-134, Quito",-0.212178,-78.41053459999999
Quito,TuTi | Calderón,"VHXG+C36, Quito",-0.1016694,-78.42472769999999
Quito,TuTi | San Martín de Porras,"PF2G+R5V, E8G, Quito",-0.2978764,-78.5247021
Quito,TuTi Ponceano Alto.,"Mariano Paredes 75-104, Quito",-0.0976262,-78.4806078
Quito,TuTi | San Blas,"QFJV+XFG, Quito",-0.217553,-78.5062888
Quito,TuTi Ciudad Bicentenario,"WGJX+24F, Quito",-0.0699713,-78.4522538
Quito,TuTi | Quitumbe,"Av. Llira Ñan &, Quito",-0.296378,-78.5463826
Quito,TuTi | Huarcay,"PC3J+424, Andres Perez, Quito",-0.297188,-78.5698668
Quito,TuTi Ruiz de Castilla,"RG62+3PV, Ruiz de Castilla, Quito",-0.1897748,-78.4982035
Quito,TuTi | La Vicentina,"QGM6+MPP, Quito",-0.2157506,-78.48817319999999
Quito,TuTi Atucucho,"VFCP+VQJ, Oe16A, Quito",-0.1278345,-78.5130092
Quito,TuTi | San Antonio,"Av Equinoccial 1055, Quito",-0.008054300000000002,-78.4476145
Quito,TuTi El Condado,"Pedro de la Peña Oe5-166, Quito",-0.1052665,-78.499287
Quito,TuTi | Giovanni Calles,"WH24+PHG, Giovanni Calles Lascano, Quito",-0.09818349999999999,-78.4435646
Quito,TuTi | La Ecuatoriana,"MCRP+4JV, Av. La Ecuatoriana, Quito",-0.3096889,-78.5634687
Quito,TuTi República,"Av. de la República E4-34, Quito",-0.1856336,-78.4887205
Quito,TuTi | Centro Mejía,"Vargas 14-46, Quito",-0.2107856,-78.5039965
Quito,TuTi Edén,"De los Pinos 905-830, Quito",-0.1367589,-78.47279619999999
Quito,TuTi | Colón,"QGX5+QQJ, Av. Cristóbal Colón, Quito",-0.2005641,-78.49060659999999
Quito,TuTi | Santa Anita,"PFX6+WVQ, Av. Mariscal Sucre, Quito",-0.2502087,-78.5377994
Quito,TuTi Zamora,"Zamora 192-240, Quito",-0.156181,-78.4905064
Quito,TuTi | Chillogallo,"PCCW+M8Q, Manuel Coronado, y, Quito",-0.2784574,-78.55347220000002
Quito,TuTi | Conocoto,"García Moreno S7-105, Quito",-0.2982972,-78.4808345
Quito,Tuti | La Gasca,"Gaspar de Carvajal 33-9, Quito",-0.1968058,-78.50213640000001
Quito,TuTi El Inca,"Pio Valdivieso E7-74, Quito",-0.1581057,-78.4774137
Quito,TuTi | Ajaví,"PFV5+32R, Quito",-0.2572577,-78.5424743
Quito,TuTi | Pomasqui,"N 1-90, Quito",-0.0518554,-78.4564006
Quito,TuTi | Ilaló,"PG3W+992, Ilaló, Quito",-0.2969515,-78.45450579999999
Quito,TuTi | Santa Ana,"Julian Estrella &, Quito",-0.2828501,-78.5614958
Quito,TuTi Isla Floreana,"Av. Isla Floreana &, Quito",-0.1673693,-78.48335279999999
Quito,TuTi | Tumbaco Centro,"Gaspar de Carvajal S/N, Quito",-0.2150447,-78.4039641
Quito,TuTi | Monteserrín,"RGRM+59W, Av. Eloy Alfaro, Quito",-0.1595209,-78.4665797
Quito,TuTi Cotocollao,"Av. de la Prensa 62-56, Quito",-0.121586,-78.4936322
Quito,TuTi | Villaflora,"QF4J+99P, Av Rodrigo de Chávez, Quito",-0.2440403,-78.5190405
Quito,TuTi | Santo Ángel de Guamani,"MC9W+HM7, C. OE2H, Quito",-0.3313499,-78.55325409999999
Quito,TuTi | Paquisha,"MC4M+WQW, Gustavo Orces Villagomez, Quito",-0.3425166,-78.5658009
Quito,TuTi | San Bartolo,"PFJC+8R7, Quito",-0.2689863,-78.5279674
Quito,TuTi | 6 de Diciembre,"RGGF+F4H, Quito",-0.1738002,-78.4772332
Quito,TuTi | El Arenal,"QJWF+42V, Quito",-0.2046238,-78.3774717
Quito,TuTi | San Juan de La Armenia,"PGJP+RPR, Sebastián de Benalcazar, Quito",-0.267866,-78.4632319
Quito,TuTi | La Roldós,"N85 &, Quito",-0.0847969,-78.5055361
Quito,TuTi | Ciudad Futura,"MFQF+VHQ, Quito",-0.3104546,-78.5258905
Quito,TuTi | Serapio Japerabi,"Serapio Japerabi S13-204, Quito",-0.2568317,-78.5345524
Quito,Tuti Centro del Muchacho Trabajador,Quito,-0.1101746,-78.4938277
Quito,TuTi | Monjas,"Alfonso Mora S2-537, Quito",-0.2318621,-78.4831237
Quito,TuTi | Agapanthus,"Rio Napo 170809, Quito",-0.3317891,-78.48010239999999
Quito,TuTi | Puente 3,"PGP7+P58, Quito",-0.2631822,-78.48694859999999
Quito,TuTi San José de Morán,"WH76+GWC, Quito",-0.086171,-78.4377294
Quito,TuTi La Prensa,"VG65+P2V, Quito",-0.1382011,-78.4924647
