camp_name,address,category,director,operator,city,state,accredited-member,programs,zip_code,nogeo,latitude,longitude
URJ Eisner Camp,53 Brookside Rd,"Jewish, Reform",,URJ Eisner and Crane Lake Camp (Operator),Great Barrington,MA,Accredited Member,4.0,01230-2186,"53 Brookside Rd, Great Barrington, MA, 01230-2186, USA",42.1759904,-73.3568677
Camp Chateaugay,233 Gadway Rd,"Independent, For Profit",Mitch Goldman,"Chateaugay Campco, LLC (Operator)",Merrill,NY,Accredited Member,2.0,12955-2307,"233 Gadway Rd, Merrill, NY, 12955-2307, USA",44.766374,-73.98201879999999
YWCA VT Camp Hochelaga,34 Hochelaga Rd,YWCA,Christine Perry,YWCA Vermont,South Hero,VT,Accredited Member,2.0,05486-4807,"34 Hochelaga Rd, South Hero, VT, 05486-4807, USA",44.60583,-73.29696609999999
YMCA Camp Ohiyesa,7300 Hickory Ridge Rd,YMCA,Doug Grimm,YMCA Camping Services of Detroit,Holly,MI,Accredited Member,4.0,48442-8929,"7300 Hickory Ridge Rd, Holly, MI, 48442-8929, USA",42.704443,-83.662075
Camp CUMCITO,13220 Mission Rd,Nondenominational Christian,,City Union Mission,Warsaw,MO,Accredited Member,4.0,13220,"13220 Mission Rd, Warsaw, MO, 13220, USA",38.236238,-93.46269099999999
YMCA Camp Orkila,484 Camp Orkila Rd,YMCA,Dimitri Stankevich,YMCA of Greater Seattle,Eastsound,WA,Accredited Member,2.0,98245-5071,"484 Camp Orkila Rd, Eastsound, WA, 98245-5071, USA",48.7003671,-122.9409952
Camp Kostopulos,4180 E Emigration Canyon Rd,"Independent, Not for Profit",Mircea Divricean,Camp Kostopulos (Operator),Salt Lake City,UT,Accredited Member,13.0,84108-1764,"4180 E Emigration Canyon Rd, Salt Lake City, UT, 84108-1764, USA",40.764514,-111.7803837
Kutshers Sports Academy,PO Box 770100,"Independent, For Profit",Mike Gilberg,French Woods Festival of the Performing Arts Inc. (Operator),Coral Springs,FL,Accredited Member,2.0,33077-0100,"PO Box 770100, Coral Springs, FL, 33077-0100, USA",26.2369447,-80.2437255
Camp Ozanam,7303 Walker Rd,Roman Catholic,Julia Hohner,Society of St Vincent de Paul Detroit,Carsonville,MI,Accredited Member,1.0,48419-9492,"7303 Walker Rd, Carsonville, MI, 48419-9492, USA",43.38793709999999,-82.537255
Covenant Harbor Bible Camp and Retreat Center,1724 W Main St,"Evangelical, Covenant",Ray Warren,Harbor Point Ministries,Lake Geneva,WI,Accredited Member,1.0,53147-1652,"1724 W Main St, Lake Geneva, WI, 53147-1652, USA",42.5864813,-88.4518957
Everglades Youth Conservation,12100 Seminole Pratt Whitney Rd,"Government, State/Federal",Janice Kerber,Florida Fish and Wildlife,West Palm Beach,FL,Accredited Member,2.0,12100,"12100 Seminole Pratt Whitney Rd, West Palm Beach, FL, 12100, USA",26.8559299,-80.30019999999999
Camp Kidwell,39000 1st Ave,"Independent, Not for Profit",K.J. Kelly,Camp Kidwell (Operator),Bloomingdale,MI,Accredited Member,1.0,39000,"39000 1st Ave, Bloomingdale, MI, 39000, USA",42.415566,-85.928417
Ewalu Camp and Retreat Center,37776 Alpha Ave,"Lutheran, ELCA",Clark Baldwin,Ewalu Camp and Retreat Center (Operator) (LOM),Strawberry Point,IA,Accredited Member,18.0,37776,"37776 Alpha Ave, Strawberry Point, IA, 37776, USA",42.6759257,-91.5975532
